title,soldPrice,soldDate,bids,link
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB),43.65,11 Aug 2022,27 bids,https://www.ebay.co.uk/itm/275411667522?epid=27053252260&hash=item401fd08a42%3Ag%3AyVkAAOSw-api7BVn&amdata=enc%3AAQAHAAAAoBZfK5rGLxRrjI7xtfQOo3W9RLWhA5ImV7yDp8D36DXteoWKkb%2FmEW3sefS3ki8GHUfsYV5z5Kl5gDw8L2hmlfOH%2FClHYTgx23GN%2B3Dj%2BJfJDo26XGYnLzc5RN%2BSgU%2BeuyeIAR8PqUkA7nVS%2F5iNfDDgsasbj3rGY3yopl6%2FIGoWA2JvvgtCt94dnfrDkq5w7YXzXegfj3Pb8ZD5ewY4wCk%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4B 4GB | Argon NEO Case | Official PSU | HDMI | 16GB SD,102.0,9 Aug 2022,22 bids,https://www.ebay.co.uk/itm/334520840592?epid=27053252260&hash=item4de2fef190%3Ag%3ALpEAAOSwSKhi6Ttw&amdata=enc%3AAQAHAAAAoFZdBeW6c7L%2F2g%2FdPxmSDjag5R6dGsMHHhwU%2BCe1bQRrdhVZHVkhfvTo3VWuVhwFv9KjaxXoeA845UatErz0wIxZ8v0KW6M%2FERMLEp%2BC9fsj7jze53jguwWoEVxlOtYg4KS7Lu%2BNcibf%2Bj5%2BCIup%2FMSP4apzIiKrUzgscmgoUny%2B1qaZfxYAUjp8Po7hS%2F%2B2Ki3lfj%2F8JVEvwWcLJB%2Ft1c4%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
*FAULTY* Raspberry Pi 4 Model B 4GB,33.27,9 Aug 2022,10 bids,https://www.ebay.co.uk/itm/225101123322?epid=27053252260&hash=item3469128efa%3Ag%3AVbYAAOSwEMhi6Wfb&amdata=enc%3AAQAHAAAAoJ21GV4HvPXf8Teu%2FZDSDxjd2Y%2FH2a6xLjlAYJeAZodIgqxzXWyhcjoSsfhZWmoegvPVEJW2ETfdqmj9QH%2BNCvDylw6DO01v99qFKB1Tj%2FrFoHq3g3%2FPe487DZ5KoTQweMCwI68EPbFiVfy0Qj39cLVsvnNAjpAQjGqqfp8RlYmIPegiLhtJYnmMiKzB57X2Hbj5z8LMb8z2tn1dbRhXEgQ%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 2GB Motherboard (RP-4B-2GB),56.0,8 Aug 2022,10 bids,https://www.ebay.co.uk/itm/284917907386?epid=27053252260&hash=item42566e3fba%3Ag%3AxhEAAOSwtphi6FM6&amdata=enc%3AAQAHAAAAoOdoTvv6cAcFccEsDmAousdW5vbNCLaLjfpshR6esQ%2FxkyHR17%2FQHGnph6H9dlrRUxEPVUF3Oxhm40yHvg0CfMIzFImXgL5rbqg0AwH9EhwTpm8g31AzyCpDuzGuug1PASoiP%2Bbuzq%2BCnQ24v2Ip3vSrsP4JPp2QZ1dbumt3TPpQg3kSMuSFhUfgQu4ofl7bKuRYqY6ZpqZM%2FzeEBqWZAeM%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB Motherboard (RP-4B-4GB) with accessories,86.0,8 Aug 2022,12 bids,https://www.ebay.co.uk/itm/284917902761?epid=27053252260&hash=item42566e2da9%3Ag%3AQHsAAOSwCp5i6FJA&amdata=enc%3AAQAHAAAAoETgHPxcqWCbbWnzhJEuJJAUmYxaFag66PwXglH%2BnTUPzOsLj%2FHBsD%2FXVaAbOhzhA7wpmESG5d4nrNAJ3eJ1xY4PG8clnCzAEhRoRJUDJmZbAQ67qt6ZeCXnglWhdVzVYhLkU2r%2FTg6aFd2sd2cJGqtnQDg5KvkkvS3pFl1zuw21x9a5hpYEkWGndQdrgqTTY29mWrHaoL%2BA5by%2By%2FPLUMs%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB new never opened,64.0,7 Aug 2022,15 bids,https://www.ebay.co.uk/itm/295124235823?epid=27053252260&hash=item44b6c6762f%3Ag%3AugQAAOSwykpi5p%7Eu&amdata=enc%3AAQAHAAAAoEnNeRHcoBAIr8KgN5JB4uPgBkgadSCFJ810QX8ufpaakig1n21cSZ2i1wT1%2ByqVf3xF1HlXuwqb09elqA2GLSkHR4rRdTQggvFnDk%2B7EJGu0GcKbwonka%2FbHvpzIMZC0ArjnbiRspmCgerNAFrMUeGHQluhdOg%2FXuWuKZW0f9O852%2BHwpJxnWsMRaCUyqsttjd4jqG0tqvFvoT9YTQnsvY%3D%7Ctkp%3ABk9SR7Dap6PdYA&LH_Auction=1
Raspberry Pi 4 Model B 4GB   New Never opened,80.0,7 Aug 2022,28 bids,https://www.ebay.co.uk/itm/295124232447?epid=27053252260&hash=item44b6c668ff%3Ag%3A8yYAAOSwi4Bi5p6G&amdata=enc%3AAQAHAAAAoDdcZQS8DFMk6sg556zeIppk8eQ76y0uiHwe64vHl%2B%2F2Ot8A%2BQSQPsy4RboHJmUnaVFHmyJyHi22tb63wOw7ONUMfbMIKdckwu362oVAJ2nBuLCARn2qt3Ou%2Flyx%2BqY7eL2uWL9XfDSvUwVQtlE0x%2Fz9PrSrtq2M2ufEk0ye8ey6680cDeJc5swRpMGRvrDjlDJShaifXTthrloCCr2gyrw%3D%7Ctkp%3ABk9SR7Lap6PdYA&LH_Auction=1
Raspberry Pi Model 4B - 8GB - 4 x 1.5GHz + Power Supply + Micro SD (32GB),122.0,7 Aug 2022,27 bids,https://www.ebay.co.uk/itm/265791913485?epid=16039083418&hash=item3de26ebe0d%3Ag%3Ak38AAOSwtZVi2wY7&amdata=enc%3AAQAHAAAAoOXTpVhW9kECWTS431uNikmX6y9R5TNtr8GvHj1nv4r%2Fpk2S5vVtUbNYAgA0XX%2B1wUz8Bolu1qs7fV%2BFydtHPOBUor3b0KWisWaZ6Q%2BERwG10tNnRFvon2%2Fp8kBrPOO6FyluhFo5JjAgtrmP6hl4E7kjtqXApaPK0hGpo2Oe91hOi5DifxECgpGt3dKN6gLQlzPak2zs99Z%2BH%2Bk%2BJRuNGvY%3D%7Ctkp%3ABk9SR7Lap6PdYA&LH_Auction=1
Raspberry Pi RP-4B-8GB 4B 8GB 4 x 1.5GHz Computer System - New & Sealed,123.0,6 Aug 2022,16 bids,https://www.ebay.co.uk/itm/195259192188?epid=16039083418&hash=item2d765ad37c%3Ag%3AnHcAAOSwpgRi6CAQ&amdata=enc%3AAQAHAAAAoAZDsiYDe5mq8GW5%2B%2Fi9%2BQVPcMOdhQWp2rfd9VRVoaHoeAR%2BHh3SM3jqF%2FAGk%2Fx4Ef4S9Q44%2FtfGwT0fsBIaYBl4oz0ZwDA3HfTtZA3L4pq8lOE9Ai4u6%2Bfs8abcSSZVwPBpMlhOTEhA896p%2FJlXQRTrQSqUrTRbX0prKUV4ElNidiBH%2FZsRTgk6fQL3E0l98db%2BocFRc51E27IFF3AJi5M%3D%7Ctkp%3ABk9SR7Lap6PdYA&LH_Auction=1
Raspberry Pi 4b 2GB / Switch / OpenWRT / OpenMPTCP Channel Bonding Router 7 Port,59.0,5 Aug 2022,7 bids,https://www.ebay.co.uk/itm/275406512867?hash=item401f81e2e3%3Ag%3Ais4AAOSwVDti1DPq&amdata=enc%3AAQAHAAAAoH7zBai4T4TYkVj90EFHlklofrhL6QZ8z3WUQoa4Pr8%2F%2FHHC%2BHz8twUHzg2J%2B1eoZH1IRMUk2FujiW8A1GFJHmEGwmBxosH9HOX3AzOUUeBzsykok3Ul3n3csQnPGgtNAu7HeIe7wmDXeD7ySgpTDniGFQLRQE68yl2jV%2B%2FARQp3%2FwhV7esoLtFuAt2FFgfNuXaJ7eUSF7jKaW4s68uQvEM%3D%7Ctkp%3ABk9SR7Lap6PdYA&LH_Auction=1
