title,soldPrice,soldDate,bids,link
samsung galaxy s20 ultra 5g 128gb,250.0,28 Aug 2022,1 bid,https://www.ebay.co.uk/itm/284946955534?hash=item4258297d0e%3Ag%3AKGEAAOSwxe1jCfl%7E&amdata=enc%3AAQAHAAAAoF4aKy3cRNpy%2FchamQ8lMYOrNvSevwtOcEl63FZHteBzupcq4Br59n2zJuhaY0uEYagsMhDpJ5u50DQI2yhsRV6PI8dqnZOCAzRZDqSG0yGwglbCtqHsWFQhpdFh9OiaOnJKB2nUGK35ZoiOXLsPxoELiq85I%2BCoxJDj34nUydXXNGfZqd0JTRkBd6KV%2F%2BYnKsBxWoy7Y%2BVHEBXbND6a7KE%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 5G -128GB- Unlocked - pristine condition ,250.0,28 Aug 2022,19 bids,https://www.ebay.co.uk/itm/385074754318?epid=7037680986&hash=item59a83e730e%3Ag%3A3CMAAOSwbFpjAn19&amdata=enc%3AAQAHAAAAoBfxX%2FUZ9l26WcvdujaLmbysrUFBxj%2BKte47fs2PHNmkNU4%2BjDr0vQ6byPsb1VcILHl2iEi0ytHD7geGZC4GbiP54JToqbKUyL9TY4Q1%2FpsExDQ4JvUCOejMlFAIe5z5Bgpsx1bVNqzJA%2Bbes1rjIxFqVUPDvlDd3SRLtZERBlJWw8aGltnpx8FTC%2F3VV01x2SkUeRToRlwEpZeSRvPM37Q%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 Ultra 5g Unlocked,305.0,28 Aug 2022,34 bids,https://www.ebay.co.uk/itm/134212465813?epid=21036891518&hash=item1f3fafb495%3Ag%3AV2IAAOSwSU1jCmLT&amdata=enc%3AAQAHAAAAoB6RirPa7HZmJnT8ob4uxRmGyAzuz8kJEWn%2FLm8z%2F%2B1%2BGcAaaVsY67Y%2BLk4gBfcBRGZR%2Ftj9E%2BnhNflLs0YETxbtIA%2FOyNnugB12mY1tjH4zdtSfVa80QER%2B2989IOgmqCrqGphgkfidmYKKPSeaC8V4NVukk%2FbxLRREf830si0W0acSET4Nme0NKnDCGxockELswcIilmx2kOgZ%2FMsdIKw%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung S20 Ultra 5G - Black 128gb,320.0,28 Aug 2022,7 bids,https://www.ebay.co.uk/itm/125475715531?epid=20036893192&hash=item1d36ef79cb%3Ag%3AMUsAAOSwCuVjAnkY&amdata=enc%3AAQAHAAAAoD%2BwNF%2FyXVukkJqX2dltyvn3aNSzDtDRyGkjpOTF6PRiOkI%2BNu2L06DOJjMdmnyq3ybeAo2MbFqeXqeRMFudAZENT9IhRv0GyCxkuoryvXTHUwTW6MqiujHrBjbxAAxUX6pFxvrKyF0EEucHI6bCnwb8zl1C20JsU7ie5AZPilu8on1%2F9o4yTgv1wEKptOxQG9nwdIUmR%2FIXFLyZ5WI7xIw%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G BTS Edition SM-G986B/DS - 128GB - B. (Unlocked)...,241.0,28 Aug 2022,19 bids,https://www.ebay.co.uk/itm/284946161030?epid=19039291243&hash=item42581d5d86%3Ag%3As1AAAOSwMXJjClyj&amdata=enc%3AAQAHAAAAoH7rjVz95iKHW8XRARJ5APbYq5RfFIt60FAWQKTA1aUtprDwAixqANZdlzlqCznHZiyP%2B%2BoJTvl3d%2BLU1ZWHQaHulNL6XjpBQgcSnD2RuBE%2F3N0ru%2FaHZRwz414H7sLxsOStuUF0Zlq0SEH4u0JvA1ziHQR6QqKSeBnuQza4uoTBx9D44Z2yQyGvK%2BuuBnzdU9eVVewEtB5cgf96zLggswk%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Used Samsung Galaxy S20 5G SM-G981B/DS - 128GB - Cosmic Grey - Unlocked,195.0,28 Aug 2022,15 bids,https://www.ebay.co.uk/itm/275430195818?epid=28036891491&hash=item4020eb426a%3Ag%3AgvsAAOSwZvFjAhLa&amdata=enc%3AAQAHAAAAoFNK%2BnxJ5m03NzC2LmyKqItlFboTFsWTDcs4y4DgxCqYcqkMjjqCuGjhKqilw4AL3DFQm%2Fr2ETfTT9E%2BpNv1F33un4VMP%2BNbTwzZqCnX2t%2BbBcOCDodPQ%2B3MyAEIhPaLPsaZFFG954WzrQ1x6x6DsMBOH7fTeYEanKoVMOWKr8TzFt1xSgTNIcF6%2FtFSMQT72Jd3Kdpmk7Uo27cJIBBB4kQ%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB ,205.0,28 Aug 2022,22 bids,https://www.ebay.co.uk/itm/284943900849?epid=26041226692&hash=item4257fae0b1%3Ag%3A8JUAAOSw84ZjB7NV&amdata=enc%3AAQAHAAAAoBqRZckJfQSOF2mAdOMfi0sP5lH39yGjTtyr6Hi8lPBJqDM9sW8cqQIY6cIctPtS%2FvFwRwmhEqWTxor%2FU38YSJJVrumVMZhbKukBgpEerbBpCLZDR0WFfdwNI697Fnx2Gc7B8FQzyK3PXKSsxI9srTLUy%2FOdj6oSc1H26wCLn%2F4RSH7yuwcGQNw%2FzbBpI3JGdqHALuKBv7mI71xC9vkTxLM%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB - Cloud Navy (Unlocked),240.0,28 Aug 2022,10 bids,https://www.ebay.co.uk/itm/185547120368?epid=17041201339&hash=item2b33785ef0%3Ag%3APZQAAOSwE85jAfpH&amdata=enc%3AAQAHAAAAoDKurcLBwn49yNEArQEGJfPKGzkQOSZ0pBHCJD1pGosQ3cfF7iZvekexIpzpDGyE8BM5L72VdMMaQUUs6Qr81wDq2WMm1o14FlXo9rKCtyMpcszc%2FUKEr5TtMnPrEVS4DL25FrL06uYwC0fVSFD9NXzuMKtCEnv3kEB91v2l3Ncpep1HGZMqCFBuRrGrKIP4kfNMBcd9zlBtN9XjuF1H%2BAU%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 DAMAGED SCREEN 128GB - Cosmic Grey (EE),82.0,28 Aug 2022,21 bids,https://www.ebay.co.uk/itm/284937563978?hash=item42579a2f4a%3Ag%3AyZMAAOSwf3Zi%7E6zs&amdata=enc%3AAQAHAAAAoLBwlM64dHOJOAH2kCdYOye%2FhAJ0DMLglghWqjO041H66szp8fpzvaakUlPYoqAVu2ZCaP4JjHJc1CNuHywBfgNd6kp9H3MGfV%2FlEzOjkKwmayoR4xXTEmypZd6HluKeXSNNmOnx3iXZ%2FWclnoRP%2BW6lCW9Xd3DfI9d8HF4kp%2FhXmyPGLGBcz2QVIo1wW0b1oCF1we8nJSByzDWy1Xw6kz0%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 5G SM-G981B/DS - 128GB - Cloud pink (Unlocked) (Dual SIM),199.65,28 Aug 2022,15 bids,https://www.ebay.co.uk/itm/255690857346?epid=23036897273&hash=item3b885cdb82%3Ag%3AO8QAAOSwQcVjBPT6&amdata=enc%3AAQAHAAAAoOHcSNCLBS8n3aEOuU78pUpyY4nUg62ElAMgy0Um1FGiclr2I4twgTClM5n9yda6YfV9Fgx0qG9vK1yXO6uiADO7FKRjn66S3d3IfNbtlO0W3eV%2FJ4mbmW5%2BE%2BAMfErrWvh9%2FsuGHLCUptV%2BoZfJRywQ0ijalJRt%2Bz%2F2cOkNLAUGSeRJV9dp%2FrSFw6JBiH6yeLxclaiwj76RUagXiO6T%2F50%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G S - Aura Blue 128GB Unlocked),195.05,28 Aug 2022,7 bids,https://www.ebay.co.uk/itm/165637779457?hash=item2690c7f001%3Ag%3AU4kAAOSwotVjAk-f&amdata=enc%3AAQAHAAAAoN3%2BdebBFjcRLOt4CzSYKoVNW%2Bm9JvV8azqOyUeHDtZFCEwL28UFJDkX2jD20n4ut%2FkPlFAA8VGPYzfvDZLVbw3ejNbBowKikEpccrcHEtTeEDaRHgvs88wzNhyCDADmUr%2BJGyF8%2FvZ4rVSEmU3az1YSv5Yh827lGIFRWTrJ0PgTOF78%2B3fZVuDwwBIQZ98%2F0Ax9m6dqAc8cwT9wHG4CwDw%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G SM-G986B/DS - 128GB - Cosmic Grey (Unlocked) (Dual SIM),48.0,28 Aug 2022,18 bids,https://www.ebay.co.uk/itm/403847596851?epid=14036889764&hash=item5e07314b33%3Ag%3AuBkAAOSw63BjBOy-&amdata=enc%3AAQAHAAAAoIeUwXVAY1gM1fjSkZuzTlr2RfOyWnTCR87EcXAHKhfkZfjBcaYbFmYcDUj1Jj5BJp6U9Qt5L%2BSKRnoRjhPXmijZz0%2BIhMfjMWdaRO9W3kc4g0Y32891X032Q2273FUbu9ArJPT98XE3o6QLL85V5OH2oA7l4cPl2DPEmgCVNBtb%2FQEkGnrc75bObkUhGOydy41kmIiKPqHGvYPVqkwL9OI%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 5G - 128GB - (Unlocked)...  NO RESERVE ,199.0,28 Aug 2022,1 bid,https://www.ebay.co.uk/itm/334538574003?hash=item4de40d88b3%3Ag%3A1dAAAOSwpXJjAjNT&amdata=enc%3AAQAHAAAAoIj3GnyEupj0eUNj9shT35k6yQvsNHriHj7zKApEijAKTvojsbDztflJ4HmuE%2BskIMRA0Cx%2FAbakafhBJNqGe9i4OoOYdKchBACxR9X5piJne4jRddJdvQh0jyzcvjXOL8FPnVK5EqTzHhbwfZc1Dt%2FSB%2B8bgcHJG4BefnrArabsGdgi1Q7iFFwE9tP8v4%2FwPrBLBf7u66%2FEydoszJvyQKU%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20+ 5G SM-G986B/DS - 128GB - Cosmic Grey (Unlocked) (Dual SIM),250.0,28 Aug 2022,1 bid,https://www.ebay.co.uk/itm/385082208741?hash=item59a8b031e5%3Ag%3APh4AAOSw5JhjB-Cj&amdata=enc%3AAQAHAAAAoL%2F2jQmud89W%2FrFL7AD7NcQoNu00%2BRW7kHnPy5rjpcO3hTA3C7lRbIvCY7NHHNMmKQgJqZQPwZtzyQ7vbMuZ98CawgcswL%2FmI4dlbkloWyClVncbb5ifUi0z9SMcshuChLyh3%2BxVLfXxbtZOt155uJyuaBrJblRZYeXTnBc5w4hF6IIn8%2FN7XyrirQO2PZcJZfgYEZB%2Bw%2F7MiDtVSpFIb2k%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
Samsung Galaxy S20 FE 5G SM-G781B/DS - Cloud Navy - Brand New & Factory Sealed ,331.0,28 Aug 2022,3 bids,https://www.ebay.co.uk/itm/195312373228?epid=17041201339&hash=item2d79864dec%3Ag%3A0bsAAOSwmzJjCgOa&amdata=enc%3AAQAHAAAAoNOM0e9QNlKBk6stf%2BedOTg1H%2BQ%2F8RlCeaMXoumjcQODfPqrE4udx2T1ieEZbPExtSVJe626jzulPZbj9r7A6DCvR%2BMPs5t3EnyNA1INECMSriUsqTAkQorhUcxCMMbrW4e2AbU97ka3Tw5hRKo2s5vVTq8Nxp9zVHtQ%2FhHkIwvJh3FsdgZmjuSYHQDBJnpMCiEi6nInIDiY9toe4h5GILc%3D%7Ctkp%3ABk9SR7TA-aPdYA&LH_Auction=1
